"Timestamp","Action","User","Folder","File Name","IP"
"2016-01-14T22:43:55+00:00","ADD","ADMIN","/data/onlineDocs","README.MD","127.0.0.1"
"2016-01-15T00:04:50+00:00","ADD","ADMIN","/data/onlineDocs","notices.doc","10.10.10.311"
"2016-01-15T00:44:59+08:30","ADD","sTaylor@company.com","/data/onlineDocs","README.MD","10.10.10.202"
"2016-01-15T01:25:35-05:00","ADD","mBrown@company.com","/data/onlineDocs/2014","yearEnd2.doc","10.10.10.104"
"2016-01-15T01:44:31+08:30","ADD","sTaylor@company.com","/data/onlineDocs/2014/Q1","expenses-Jan.doc","10.10.10.202"
"2016-01-15T02:22:45-05:00","REMOVE","mBrown@company.com","/data/onlineDocs","README.MD","10.10.10.104"
"2016-01-15T02:54:18-05:00","ADD","jSmith@company.com","/data/onlineDocs/2013","yearEnd.doc","10.10.10.101"
"2016-01-15T03:53:26-05:00","ADD","sJohnson@company.com","/data/onlineDocs/2014/Q1","expenses-Jan.doc","10.10.10.102"
"2016-01-15T04:32:24-08:00","ADD","fMartinez@company.com","/data/onlineDocs/2014/Q1","expenses-Jan.doc","10.10.11.110"
"2016-01-15T06:31:32+00:00","ADD","ADMIN","/data/onlineDocs/2014/Q4","expenses-Oct.doc","10.10.10.311"
"2016-01-15T07:06:07-05:00","REMOVE","bWilliams@company.com","/data/onlineDocs","README.MD","10.10.10.103"
"2016-01-15T07:22:55+08:30","ACCESSED","sTaylor@company.com","/data/onlineDocs/2013/Q1","expences-Feb.doc","10.10.10.202"
"2016-01-15T08:00:45-05:00","ADD","bWilliams@company.com","/data/onlineDocs/2014/Q2","why_previous_quarter_was_poor.doc","10.10.10.103"
"2016-01-15T08:48:12-05:00","REMOVE","bWilliams@company.com","/data/onlineDocs/2014","newFormating,forNextYear.doc","10.10.10.103"
"2016-01-15T09:54:40+00:00","ADD","ADMIN","/data/onlineDocs/2015/Q2","expences-Jun-2015.doc","10.10.10.311"
"2016-01-15T11:11:44-05:00","ACCESSED","sJohnson@company.com","/data/onlineDocs/2013","yearEnd.doc","10.10.10.102"
"2016-01-15T14:12:40-05:00","ACCESSED","bWilliams@company.com","/data/onlineDocs","notices.doc","10.10.10.103"
"2016-01-15T15:10:24-08:00","ACCESSED","fMartinez@company.com","/data/onlineDocs","README.MD","10.10.11.110"
"2016-01-15T15:17:44-08:00","ADD","eThomas@company.com","/data/onlineDocs","help.doc","10.10.10.203"
"2016-01-15T18:42:45-08:00","ACCESSED","rGarcia@company.com","/data/onlineDocs/2014","newFormating,forNextYear.doc","10.10.10.107"
"2016-01-15T19:19:38-05:00","ADD","bWilliams@company.com","/data/onlineDocs/2013/Q3","bigSoftwareIssues.doc","10.10.10.103"
"2016-01-15T19:43:08+00:00","ADD","ADMIN","/data/onlineDocs/2015","yearEnd2015.doc","10.10.10.311"
"2016-01-15T21:31:09-08:00","ADD","rRodriguez@company.com","/data/onlineDocs/2013/Q3","expences-Aug.doc","10.10.10.108"
"2016-01-15T21:40:21-05:00","ACCESSED","wAnderson@company.com","/data/onlineDocs/2014","yearEnd2.doc","10.10.10.201"
"2016-01-15T22:00:18+08:30","ACCESSED","sTaylor@company.com","/data/onlineDocs/2014","yearEnd2.doc","10.10.10.202"
"2016-01-15T22:08:38+08:30","ADD","pMartin@company.com","/data/onlineDocs","notices.doc","127.0.0.1"
"2016-01-15T22:41:44-05:00","ADD","jSmith@company.com","/data/onlineDocs/2015/Q2","expences-Jun-2015.doc","10.10.10.101"
"2016-01-15T23:18:17+08:30","ADD","sTaylor@company.com","/data/onlineDocs/2015/Q1","expences-Mar-2015.doc","10.10.10.202"
"2016-01-15T23:26:00+08:30","ACCESSED","sTaylor@company.com","/data/onlineDocs/2013/Q1","expences-Feb.doc","10.10.10.202"
"2016-01-15T23:34:28-08:00","REMOVE","fMartinez@company.com","/data/onlineDocs/2014/Q2","expenses-Apr.doc","10.10.10.110"
"2016-01-15T23:53:17+08:30","ACCESSED","mJones@company.com","/data/onlineDocs","help.doc","10.10.10.105"
"2016-01-16T00:27:14+08:30","REMOVE","sTaylor@company.com","/data/onlineDocs/2013/Q2","expences-Jun.doc","10.10.10.202"
"2016-01-16T00:36:49-08:00","ADD","rGarcia@company.com","/data/onlineDocs/2015/Q3","expences-Spt-2015.doc","10.10.10.107"
"2016-01-16T00:50:51+00:00","REMOVE","ADMIN","/data/onlineDocs","notices.doc","127.0.0.1"
"2016-01-16T01:54:49-08:00","ACCESSED","rGarcia@company.com","/data/onlineDocs","help.doc","10.10.10.107"
